 id, jobs, machines, opt, makespan, guaranteed_ratio, runtime_ms, approximation_alg, fptas_alg, shelves_alg, nb_big_jobs, nb_small_jobs
 1745074504617,1000,883,81.29866247295928,116.0,RATIO_10_7,7754,TwoApproximation,CompressionApproach,OhnesorgeApproach,746,255
 1745074514843,1000,1942,53.44719083179037,76.0,RATIO_10_7,18802,TwoApproximation,CompressionApproach,OhnesorgeApproach,899,101
 1745074536143,1000,799,85.287650517737,121.0,RATIO_10_7,5806,TwoApproximation,CompressionApproach,OhnesorgeApproach,703,298
 1745074544859,1000,543,110.4809193760431,157.0,RATIO_10_7,2829,TwoApproximation,CompressionApproach,OhnesorgeApproach,538,462
 1745074550993,1000,1949,53.34147735642678,76.0,RATIO_10_7,19309,TwoApproximation,CompressionApproach,OhnesorgeApproach,911,89
 1745074572790,1000,1326,66.2547627674868,94.0,RATIO_10_7,9898,TwoApproximation,CompressionApproach,OhnesorgeApproach,832,168
 1745074585152,1000,1952,53.54982601228308,76.0,RATIO_10_7,17410,TwoApproximation,CompressionApproach,OhnesorgeApproach,920,80
 1745074605289,1000,738,89.34375437294565,127.0,RATIO_10_7,7208,TwoApproximation,CompressionApproach,OhnesorgeApproach,648,352
 1745074615047,1000,1989,52.06275230319493,74.0,RATIO_10_7,19190,TwoApproximation,CompressionApproach,OhnesorgeApproach,896,104
 1745074636742,1000,1452,61.87586521117156,88.0,RATIO_10_7,12743,TwoApproximation,CompressionApproach,OhnesorgeApproach,861,139
 1745074652343,1000,859,83.78642674402808,119.0,RATIO_10_7,10063,TwoApproximation,CompressionApproach,OhnesorgeApproach,720,281
 1745074664893,1000,1166,70.23295578866635,100.0,RATIO_10_7,9797,TwoApproximation,CompressionApproach,OhnesorgeApproach,827,174
 1745074677104,1000,1071,72.33809279326965,103.0,RATIO_10_7,7980,TwoApproximation,CompressionApproach,OhnesorgeApproach,770,231
 1745074687817,1000,679,94.36332628477655,134.0,RATIO_10_7,5416,TwoApproximation,CompressionApproach,OhnesorgeApproach,654,346
 1745074695703,1000,649,94.50364668600731,135.0,RATIO_10_7,5297,TwoApproximation,CompressionApproach,OhnesorgeApproach,639,361
 1745074703389,1000,699,91.81140815614802,131.0,RATIO_10_7,6231,TwoApproximation,CompressionApproach,OhnesorgeApproach,679,321
 1745074712256,1000,1691,58.81471103553163,84.0,RATIO_10_7,12348,TwoApproximation,CompressionApproach,OhnesorgeApproach,877,123
 1745074727290,1000,1571,61.31418310950927,87.0,RATIO_10_7,12402,TwoApproximation,CompressionApproach,OhnesorgeApproach,878,123
 1745074745435,1000,1726,57.01777748823996,81.0,RATIO_10_7,14345,TwoApproximation,CompressionApproach,OhnesorgeApproach,890,110
 1745074762453,1000,1341,65.81004333496094,94.0,RATIO_10_7,13604,TwoApproximation,CompressionApproach,OhnesorgeApproach,821,179
 1745074778708,1000,1139,69.78455971038792,99.0,RATIO_10_7,10104,TwoApproximation,CompressionApproach,OhnesorgeApproach,781,220
 1745074793789,1000,824,84.22137951156466,120.0,RATIO_10_7,7385,TwoApproximation,CompressionApproach,OhnesorgeApproach,697,303
 1745074803597,1000,797,86.76529141262155,123.0,RATIO_10_7,5731,TwoApproximation,CompressionApproach,OhnesorgeApproach,689,312
 1745074811797,1000,1191,69.88170582141123,99.0,RATIO_10_7,10942,TwoApproximation,CompressionApproach,OhnesorgeApproach,822,178
 1745074825659,1000,996,79.17298025108246,113.0,RATIO_10_7,6899,TwoApproximation,CompressionApproach,OhnesorgeApproach,736,265
 1745074835550,1000,982,77.36665100284118,110.0,RATIO_10_7,8554,TwoApproximation,CompressionApproach,OhnesorgeApproach,765,236
 1745074847164,1000,1208,69.24743575923489,98.0,RATIO_10_7,10634,TwoApproximation,CompressionApproach,OhnesorgeApproach,824,177
 1745074860839,1000,1341,64.87085229473982,92.0,RATIO_10_7,10274,TwoApproximation,CompressionApproach,OhnesorgeApproach,840,161
 1745074873652,1000,1071,74.01354789555795,105.0,RATIO_10_7,11180,TwoApproximation,CompressionApproach,OhnesorgeApproach,767,233
 1745074887449,1000,1048,74.41601381957076,106.0,RATIO_10_7,7345,TwoApproximation,CompressionApproach,OhnesorgeApproach,740,261
 1745074897592,1000,620,96.9041884637648,138.0,RATIO_10_7,5394,TwoApproximation,CompressionApproach,OhnesorgeApproach,625,376
 1745074905388,1000,1216,68.74916435542859,98.0,RATIO_10_7,12113,TwoApproximation,CompressionApproach,OhnesorgeApproach,814,186
 1745074919935,1000,1020,75.36835865693934,107.0,RATIO_10_7,7995,TwoApproximation,CompressionApproach,OhnesorgeApproach,789,211
 1745074930335,1000,1382,64.20423053625524,91.0,RATIO_10_7,14326,TwoApproximation,CompressionApproach,OhnesorgeApproach,837,163
 1745074947144,1000,1292,67.03846229340638,95.0,RATIO_10_7,9997,TwoApproximation,CompressionApproach,OhnesorgeApproach,818,182
 1745074959852,1000,1548,59.09916951428397,84.0,RATIO_10_7,15286,TwoApproximation,CompressionApproach,OhnesorgeApproach,880,120
 1745074977592,1000,1202,69.5905048160902,99.0,RATIO_10_7,9576,TwoApproximation,CompressionApproach,OhnesorgeApproach,806,195
 1745074989658,1000,1421,64.7664798787578,92.0,RATIO_10_7,12216,TwoApproximation,CompressionApproach,OhnesorgeApproach,853,147
 1745075004390,1000,1191,71.00301803179292,101.0,RATIO_10_7,17812,TwoApproximation,CompressionApproach,OhnesorgeApproach,803,198
 1745075024846,1000,1462,63.41261952161463,90.0,RATIO_10_7,10816,TwoApproximation,CompressionApproach,OhnesorgeApproach,835,165
 1745075038206,1000,1413,66.03064625733977,94.0,RATIO_10_7,10973,TwoApproximation,CompressionApproach,OhnesorgeApproach,825,175
 1745075054412,1000,742,90.88339406139445,129.0,RATIO_10_7,5803,TwoApproximation,CompressionApproach,OhnesorgeApproach,676,324
